rank,video_id,title,view_count,duration,url
38,TJW9XtSfFxc,"Piers Morgan vs Zlatan Ibrahimovic | The Full, Uncut Interview",4000000,6311,https://www.youtube.com/watch?v=TJW9XtSfFxc
39,2ikiuBdtd2E,"""Threat To Democracy"" Piers Morgan Reacts To Trump Shooting | Ben Shapiro x Rudy Giuliani",3800000,5943,https://www.youtube.com/watch?v=2ikiuBdtd2E
40,DHs7p6o5oBo,The 'Female Andrew Tate' Pearl Davis On Why She Thinks Women Shouldn't Vote,3800000,590,https://www.youtube.com/watch?v=DHs7p6o5oBo
41,NonNbIJ6Zm0,"""We Might Have 100 Years Left!"" Neil deGrasse Tyson On The World Ending",3800000,578,https://www.youtube.com/watch?v=NonNbIJ6Zm0
42,cQobf1ePWAA,“NO ONE CARES!” America TURNS On Anti-Trump Celebrities! Feat Nerdrotic & Critical Drinker,3700000,2896,https://www.youtube.com/watch?v=cQobf1ePWAA
43,vEwC9LVlMNQ,Piers Morgan vs Ice Cube | The Full Interview,3700000,814,https://www.youtube.com/watch?v=vEwC9LVlMNQ
44,aD_N9MFn_hc,"Ronaldo: Man Utd Bosses ""Didn't Believe"" My Daughter Was Sick",3700000,1339,https://www.youtube.com/watch?v=aD_N9MFn_hc
45,c_NPcyN45P8,"""BRAZEN Misogynist!"" Piers Morgan vs Andrew Tate on Charlie Kirk, Train Murder & Trafficking Case",3600000,3220,https://www.youtube.com/watch?v=c_NPcyN45P8
46,Qo_uGb95hic,"""I Dispute EVERYTHING Israel Says"" Piers Morgan vs Mehdi Hasan",3600000,3204,https://www.youtube.com/watch?v=Qo_uGb95hic
47,6PXyfdBOL28,“A Trainwreck Combined With A Dumpster Fire!” Trump vs Biden Reaction,3600000,4503,https://www.youtube.com/watch?v=6PXyfdBOL28
48,josrxVtGE40,"Piers Morgan Reacts To Sam Smith's ""Disgusting and Vulgar"" Tour",3600000,650,https://www.youtube.com/watch?v=josrxVtGE40
49,rUcR3-6lAW0,Piers Morgan Vs Ben Shapiro | The Full Interview,3500000,2515,https://www.youtube.com/watch?v=rUcR3-6lAW0
50,zoHyLyGfKoU,"""Complete And Utter LUNATIC!"" Trans Athletes Debate Turns UGLY",3400000,2199,https://www.youtube.com/watch?v=zoHyLyGfKoU
51,edhknTTq7bM,Piers Morgan vs Dana White | The Full Interview,3400000,3465,https://www.youtube.com/watch?v=edhknTTq7bM
52,df9M8KbQZSA,Israel-Hamas War: Piers Morgan vs Rahma Zein On Palestine's Suffering | The Full Interview,3300000,960,https://www.youtube.com/watch?v=df9M8KbQZSA
53,cc183v_oH0k,"""I'm Tired Of Women WHINING!"" The 'Female Andrew Tate' Pearl Davis On Equal Pay in Sports",3300000,793,https://www.youtube.com/watch?v=cc183v_oH0k
54,JSoW-1AGa7o,"Piers Morgan On Shamima Begum: ""She's a Disgusting Piece Of Work!""",3300000,573,https://www.youtube.com/watch?v=JSoW-1AGa7o
55,LEKjCeHr0NU,"""Exporting TERRORISM!"" India-Pakistan Debate With Ranveer Allahbadia & Hina Khar",3200000,3031,https://www.youtube.com/watch?v=LEKjCeHr0NU
56,DIaNbo24lCA,“UNELECTABLE!” Kamala Harris Taken Down By RFK Jr As Biden Steps Down,3200000,4644,https://www.youtube.com/watch?v=DIaNbo24lCA
57,qktc4-9mXXc,Kevin Spacey Breaks Down As He Faces Debt Of MILLIONS,3200000,5899,https://www.youtube.com/watch?v=qktc4-9mXXc
